abb,year,month,total,mean,num_loans,year_month,state,population,per_cap_loan,per_cap_num_loans,epop,unemp,epop_jan_2020,unemp_jan_2020,epop_change,unemp_change,unemp_diff,epop_diff,unemp_diff_in_diff,epop_diff_in_diff,unemp_month_change,epop_month_change
IN,2020,11,75506754,25168918,3,Nov 2020,Indiana,6732219,11.215730504310688,0.04456183020784083,60.1,5,62.1,3.2,-2,1.7999999999999998,-1.2137254901960786,1.609803921568627,-0.8802287581699348,0.8114379084967324,-0.5999999999999996,0.3999999999999986
IN,2020,12,111133158.92,11113315.892,10,Dec 2020,Indiana,6732219,16.50765652751344,0.14853943402613612,60.4,4.6,62.1,3.2,-1.7000000000000028,1.3999999999999995,-1.4372549019607845,1.7411764705882362,-1.1037581699346408,0.9428104575163415,-0.40000000000000036,0.29999999999999716
KS,2020,8,9000000,9000000,1,Aug 2020,Kansas,2913314,3.0892653521041673,0.034325170578935194,63.4,6.2,65.1,3.1,-1.6999999999999957,3.1,-1.5705882352941174,5.89411764705882,-1.1454248366013071,2.5790849673202563,-0.39999999999999947,0.7999999999999972
KS,2020,9,46112225,11528056.25,4,Sep 2020,Kansas,2913314,15.828099888992398,0.13730068231574077,61.8,6.1,65.1,3.1,-3.299999999999997,2.9999999999999996,-1.0274509803921577,3.866666666666667,-0.6022875816993474,0.5516339869281031,-0.10000000000000053,-1.6000000000000014
KS,2020,10,14393000,4797666.666666667,3,Oct 2020,Kansas,2913314,4.940421801426142,0.10297551173680557,64.3,4.7,65.1,3.1,-0.7999999999999972,1.6,-1.792156862745098,5.7607843137254875,-1.3669934640522876,2.4457516339869234,-1.3999999999999995,2.5
KS,2020,11,13100000,13100000,1,Nov 2020,Kansas,2913314,4.49659734584051,0.034325170578935194,64.5,4.7,65.1,3.1,-0.5999999999999943,1.6,-1.5137254901960784,6.009803921568626,-1.088562091503268,2.6947712418300616,0,0.20000000000000284
KS,2020,12,134718256,14968695.111111112,9,Dec 2020,Kansas,2913314,46.242271172966596,0.30892653521041674,64.7,4.7,65.1,3.1,-0.3999999999999915,1.6,-1.337254901960784,6.0411764705882405,-0.9120915032679737,2.7261437908496764,0,0.20000000000000284
KY,2020,8,49999720,8333286.666666667,6,Aug 2020,Kentucky,4467673,11.191445748155695,0.1342981010472342,53.2,5.5,56.9,4.1,-3.6999999999999957,1.4000000000000004,-2.2705882352941176,-4.305882352941175,-2.820424836601307,0.5624183006535954,-0.09999999999999964,0.20000000000000284
KY,2020,9,12700000,6350000,2,Sep 2020,Kentucky,4467673,2.842643138833124,0.0447660336824114,53.3,5.5,56.9,4.1,-3.6000000000000014,1.4000000000000004,-1.6274509803921573,-4.633333333333333,-2.1772875816993467,0.23496732026143796,0,0.09999999999999432
KY,2020,10,3454000,3454000,1,Oct 2020,Kentucky,4467673,0.7731094016952449,0.0223830168412057,53.4,5.5,56.9,4.1,-3.5,1.4000000000000004,-0.9921568627450981,-5.139215686274511,-1.5419934640522874,-0.27091503267974026,0,0.10000000000000142
KY,2020,11,31350000,10450000,3,Nov 2020,Kentucky,4467673,7.017075779717987,0.0671490505236171,53.3,5.6,56.9,4.1,-3.6000000000000014,1.5,-0.6137254901960789,-5.190196078431377,-1.1635620915032683,-0.3218954248366064,0.09999999999999964,-0.10000000000000142
KY,2020,12,56242866,14060716.5,4,Dec 2020,Kentucky,4467673,12.588850168756755,0.0895320673648228,53.3,5.6,56.9,4.1,-3.6000000000000014,1.5,-0.43725490196078454,-5.358823529411765,-0.9870915032679739,-0.4905228758169944,0,0
LA,2020,7,2265000,1132500,2,Jul 2020,Louisiana,4648794,0.48722313787188676,0.04302191062886417,49.6,9.1,57,5.1,-7.399999999999999,4,0.0705882352941174,-7.166666666666664,-0.995915032679739,-1.9566993464052276,-0.3000000000000007,0.10000000000000142
LA,2020,8,2969000,989666.6666666666,3,Aug 2020,Louisiana,4648794,0.6386602632854886,0.06453286594329627,53.8,8.2,57,5.1,-3.200000000000003,3.0999999999999996,0.4294117647058817,-3.705882352941181,-0.6370915032679747,1.5040849673202557,-0.9000000000000004,4.199999999999996
LA,2020,9,5340000,1068000,5,Sep 2020,Louisiana,4648794,1.1486850137906734,0.10755477657216043,53.9,8,57,5.1,-3.1000000000000014,2.9000000000000004,0.8725490196078427,-4.033333333333331,-0.19395424836601372,1.1766339869281053,-0.1999999999999993,0.10000000000000142
LA,2020,10,18928500,3154750,6,Oct 2020,Louisiana,4648794,4.071701176692278,0.12906573188659254,53.9,7.9,57,5.1,-3.1000000000000014,2.8000000000000007,1.4078431372549023,-4.639215686274511,0.34133986928104587,0.5707516339869256,-0.09999999999999964,0
LA,2020,11,112775706,16110815.142857144,7,Nov 2020,Louisiana,4648794,24.259131723195306,0.1505766872010246,53.9,7.9,57,5.1,-3.1000000000000014,2.8000000000000007,1.6862745098039218,-4.590196078431376,0.6197712418300654,0.6197712418300609,0,0
